Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Coconut candy,24.666666666666668,63.04333333333333,3.8000000000000007,0.0,High,High,Low
Honey-combed hard candy with peanut butter,47.0,65.045,2.5,7.0,High,High,Medium
Butterfinger,36.0,72.9,2.0,0.0,High,Medium,Medium
Licorice,3.0,93.55,0.2,0.0,High,Low,Low
MILKY WAY Bar,115.0,71.17,1.0,31.0,High,Medium,Low
Cereal beverage with beet roots,4.0,1.0,0.3,0.0,Low,Low,Low
Iced Tea / Lemonade juice drink,5.0,5.28,0.19999999999999998,0.6666666666666666,Low,Low,Low
Wine,8.375,3.88375,0.0,0.0,Low,Low,Low
Gimlet,3.0,5.08,0.1,0.0,Low,Low,Low
Energy drink (SoBe Energize Energy Juice Drink),8.0,11.27,0.0,0.0,Medium,Low,Low
Chipotle dip,71.33333333333333,6.41,0.0,63.0,Low,High,Low
Custard,119.0,10.96,0.0,79.0,Medium,Low,Medium
Queso cotija,800.0,3.97,0.0,229.0,Low,High,High
Cottage cheese,78.0,3.18,0.0,83.0,Low,Medium,Medium
Alfredo sauce with meat and added vegetables,49.0,1.88,0.3,107.0,Low,Medium,Medium
Alfredo sauce with seafood and added vegetables,64.0,2.43,0.3,120.0,Low,Medium,Medium
Pork skin rinds,30.0,0.0,0.0,12.0,Low,High,High
Goat head,15.0,0.48,0.0,2.0,Low,Medium,High
Rabbit,22.25,1.265,0.075,0.0,Low,Medium,High
Chicken liver,11.0,3.6350000000000002,0.1,3378.5,Low,Medium,High
Bologna,67.0,5.755,0.0,0.0,Low,Medium,Medium
Pork sausage rice links,19.0,0.15,0.0,28.0,Low,High,High
Turkey or chicken and pork sausage,32.0,0.7,0.0,0.0,Low,High,High
Chicken or turkey cacciatore,42.0,6.94,1.1,18.0,Low,Medium,Medium
Turkey with gravy,25.666666666666668,12.076666666666666,1.0,58.333333333333336,Medium,Low,Medium
Spaghetti sauce with meat,26.0,6.54,1.5,27.0,Low,Low,Medium
Beef goulash with potatoes,17.0,7.68,0.9,4.0,Low,Low,Medium
Beef and noodles with tomato-based sauce,24.0,10.67,0.4,8.0,Low,Low,Medium
Beef goulash with noodles,18.0,10.88,0.7,5.0,Low,Medium,Medium
Beef and noodles with soy-based sauce,16.0,7.64,0.6,2.0,Low,Medium,Medium
Beef wellington,9.0,10.1,0.4,15.0,Low,High,High
Corned beef patty,19.0,9.27,1.1,0.0,Low,Medium,Medium
Ham and noodles with cream or white sauce,44.0,15.32,0.6,43.0,Low,Medium,Medium
Sausage and rice with mushroom sauce,23.0,16.8,0.4,11.0,Low,Medium,Low
Lamb or mutton and potatoes with gravy,11.0,12.53,1.0,0.0,Low,Medium,Medium
Chicken or turkey and noodles,11.0,15.47,0.7,5.0,Low,Medium,Medium
Chicken or turkey and noodles with cream or white sauce,45.0,15.23,0.6,44.0,Low,Medium,Medium
Chicken or turkey and noodles with tomato-based sauce,13.0,15.17,1.1,12.0,Low,Medium,Medium
Chicken or turkey cake,23.0,2.56,0.2,23.0,Low,Medium,High
Fish cake or patty,33.0,10.31,1.1,45.0,Low,Medium,Medium
Gefilte fish,42.0,1.03,0.1,25.0,Low,Low,High
Shrimp and noodles with mushroom sauce,35.0,15.05,0.8,23.0,Low,Medium,Medium
Haddock cake or patty,33.0,10.31,1.1,45.0,Low,Medium,Medium
Shrimp with crab stuffing,79.0,6.09,0.3,65.0,Low,Medium,High
Venison or deer stew with potatoes and vegetables excluding carrots,15.0,8.38,1.6,9.0,Low,Low,Medium
Chicken or turkey stew with potatoes and vegetables excluding carrots,21.0,9.254999999999999,1.85,21.5,Low,Low,Medium
Codfish with starchy vegetables,29.0,18.45,2.7,134.0,Low,Medium,Low
Beef and vegetables including carrots,20.666666666666668,4.096666666666667,1.2333333333333334,161.66666666666666,Low,Medium,Medium
Corned beef with tomato sauce and onion,14.0,2.04,0.4,3.0,Low,Medium,High
Pork and vegetables including carrots,24.666666666666668,4.136666666666667,1.5,168.33333333333334,Low,Medium,Medium
Lamb or mutton stew with vegetables including carrots,17.0,6.37,1.8,83.0,Low,Low,Medium
Fish shish kabob with vegetables,15.0,5.0,0.9,9.0,Low,Low,Medium
Lobster with sauce,63.0,3.96,1.0,12.0,Low,Medium,Medium
Whopper with cheese (Burger King),73.0,17.73,1.1,50.0,Low,Medium,Medium
Double cheeseburger (McDonalds),150.0,17.97,0.9,44.0,Low,Medium,High
Hamburger,75.81818181818181,20.763636363636365,1.227272727272727,4.363636363636363,Low,Medium,High
Corned beef sandwich,99.0,19.73,1.1,1.0,Low,Medium,Medium
Ham sandwich with lettuce and spread,97.0,21.97,1.1,3.0,Low,Medium,Medium
Chicken fillet sandwich,123.4,23.279999999999998,1.7066666666666666,20.4,Low,Medium,High
Chicken submarine sandwich,142.0,22.54,1.2,3.0,Medium,Low,Medium
Salisbury steak dinner,15.0,10.94,1.2,52.0,Low,Medium,Medium
Chicken and vegetable entree with rice,18.0,19.64,0.7,29.0,Medium,Medium,Medium
Turkey with vegetable,24.0,10.65,1.5,119.0,Low,Low,Medium
Italian Wedding Soup,38.0,6.53,0.8,64.0,Low,Low,Low
Chicken rice soup,12.0,8.61,0.9,2.0,Low,Low,Medium
Fish chowder,18.0,6.1,0.8,62.0,Low,Medium,Medium
Goose egg,57.0,1.27,0.0,198.0,Low,Medium,Medium
Huevos rancheros,48.0,8.76,1.6,82.0,Low,Medium,Medium
Pork egg foo yung,38.0,4.68,0.3,75.0,Low,Medium,Medium
Shrimp-egg patty,138.0,11.77,0.6,212.0,Low,High,High
Beans,52.5,16.856999999999996,5.49,8.7,Low,Low,Medium
Black beans,36.142857142857146,22.887142857142862,8.9,0.0,Low,Medium,Medium
Fava beans,34.0,18.26,5.0,1.0,Low,Medium,Medium
Pink beans,49.0,25.94,4.9,0.0,Low,Medium,Medium
Mung beans,25.0,17.8,7.1,1.0,Low,Medium,Medium
Hummus,112.0,19.740000000000002,5.9,2.5,Low,Medium,Medium
Bean and ham soup,27.0,11.04,2.566666666666667,51.333333333333336,Low,Low,Medium
Bacon strip,23.0,5.31,2.6,4.0,Low,High,Medium
Vegetarian pot pie,29.0,17.13,2.2,140.0,Low,Medium,Medium
Coconut cream,4.0,53.21,0.2,0.0,High,Medium,Low
Flax seeds,255.0,28.88,27.3,0.0,Low,High,High
Croutons,96.0,63.5,5.0,7.0,Low,Medium,Medium
Injera,13.0,18.29,2.7,0.0,Low,Low,Low
Taco shell,128.5,58.345,5.25,0.5,Low,High,Medium
Cereal or granola bar (KIND Fruit and Nut Bar),115.0,44.3,6.6,0.0,High,High,Medium
Cereal or granola bar,151.58333333333334,66.09750000000001,5.833333333333333,63.75,High,Medium,Medium
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),65.0,64.96,3.2,4.0,High,High,Medium
Popcorn cake,9.0,80.1,2.9,4.0,Low,Low,Medium
Crunchy snacks,285.0,61.59,0.0,39.0,Low,High,Low
Cornmeal dumpling,88.0,25.39,1.1,65.0,Low,Low,Medium
Cream of rye,6.0,8.86,1.4,0.0,Low,Low,Low
Cereal (General Mills Cheerios Banana Nut),357.0,84.69,6.1,506.0,High,Low,Medium
Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),9.0,78.65,2.7,8.0,High,Medium,Medium
Cereal (General Mills Chex Chocolate),286.0,81.09,2.0,429.0,High,Medium,Low
Cereal (General Mills Cookie Crisp),385.0,84.5,5.1,546.0,High,Low,Medium
Cereal (General Mills Frankenberry),303.0,85.4,4.2,420.0,High,Low,Medium
Cereal (Kashi 7 Whole Grain Puffs),38.0,78.6,8.0,0.0,Low,Low,Medium
Cereal (Malt-O-Meal Honey Nut Toasty O's),425.0,79.69,7.1,834.0,High,Medium,Medium
Cereal (General Mills Raisin Nut Bran),41.0,80.0,12.2,0.0,High,Medium,Medium
Cereal (Kellogg's Special K),23.0,73.4,1.4,500.0,Medium,Low,High
Cereal (Kellogg's Corn Pops),7.0,89.7,8.4,467.0,High,Low,Low
Whole wheat cereal with apples,600.0,83.2,6.7,0.0,High,Low,Medium
Burrito with meat and sour cream,191.0,13.05,1.1,58.0,Low,Medium,Medium
Nachos with chicken and cheese,135.0,17.36,3.2,52.0,Low,Medium,Medium
Quiche with meat,235.0,11.76,0.7,231.0,Low,High,High
Manicotti,151.0,16.745,0.85,88.25,Low,Medium,Medium
Pasta with tomato-based sauce,19.125,18.335624999999997,1.5937500000000004,16.9375,Low,Low,Low
Pasta with sauce,18.0,19.295,2.25,14.5,Low,Low,Low
Pasta with sauce and meat,20.0,17.5,2.6,15.0,Low,Low,Medium
Noodle pudding,29.0,30.98,1.6,74.0,Medium,Medium,Medium
Rice with chicken,20.0,31.43,0.8,9.0,Low,Medium,Medium
Pinto beans and rice,29.0,25.02,5.0,0.0,Low,Medium,Medium
Flavored rice mixture with cheese,47.0,25.22,0.6,2.0,Low,Low,Low
Beef enchilada,35.0,16.73,2.2,10.0,Low,Low,Medium
Lemon pie filling,23.0,68.78,0.4,85.0,High,Medium,Low
Lime juice,13.333333333333334,7.843333333333334,0.4000000000000001,1.6666666666666667,Low,Low,Low
Fruit mixture,25.0,44.86,3.15,44.0,High,Low,Low
Persimmon,15.0,57.33,6.6,94.5,High,Low,Low
Raspberries,25.0,11.94,6.5,2.0,Low,Low,Low
Lime souffle,46.0,39.83,1.3,98.0,High,Medium,Medium
Chutney,19.0,60.6,1.0,0.0,High,Low,Low
Strawberry juice,12.0,7.8,0.1,6.0,Medium,Low,Low
Tropical fruit medley,0.0,12.22,1.3,4.0,Medium,Low,Low
Applesauce with bananas,5.0,16.16,1.6000000000000003,0.0,Low,Low,Low
Orange-apple-banana juice,5.0,11.5,0.1,1.0,Medium,Low,Low
Plums,5.25,18.25,1.2249999999999999,6.25,Medium,Low,Low
Bananas and strawberry,0.0,25.78,1.4,3.0,High,Low,Low
Apples and sweet potatoes,8.0,15.3,1.4,103.0,Medium,Low,Low
Potato only from Puerto Rican mixed dishes,8.0,19.89,1.8,0.0,Low,Low,Low
Poke greens,52.0,3.01,1.5,432.0,Low,Low,Low
Channa Saag,90.0,9.54,3.4,336.0,Low,Low,Low
Bitter melon,25.0,5.33,1.85,72.5,Low,Low,Low
Cocktail sauce,26.0,28.22,1.8,18.0,Medium,Low,Low
Puerto Rican seasoning with ham,32.0,7.32,1.9,20.0,Low,High,Low
Broccoflower,33.5,6.12,3.2,13.5,Low,Low,Low
Cucumber and vegetable namasu,14.0,12.53,0.6,98.0,Medium,Low,Low
Bamboo shoots,8.0,3.13,1.4,12.0,Low,Low,Low
Breadfruit,17.0,26.26,4.7,11.0,Medium,Low,Low
Flowers or blossoms of sesbania,36.0,3.2,0.9,95.0,Low,Low,Low
Winter melon,18.0,2.95,1.0,11.0,Low,Low,Low
Yeast,30.0,41.22,26.9,0.0,Low,Medium,High
Kimchi,33.0,2.4,1.6,5.0,Low,Low,Low
Celery soup,48.5,4.76,0.3,25.5,Low,Low,Low
Leek soup,76.0,7.64,0.2,43.0,Low,Low,Low
Vegetable soup with chicken broth,7.0,6.55,0.7,6.0,Low,Low,Low
Spanish stew,21.0,8.04,1.6,39.0,Low,Low,Medium
Vegetable and fruit juice,8.0,11.15,0.0,36.0,Medium,Low,Low
Table fat,21.0,0.36,0.0,738.0,Low,High,Low
Butter,29.75,0.03,0.0,629.0,Low,High,Low
Lard,0.0,0.0,0.0,0.0,Low,High,Low
Caesar dressing,35.0,17.543333333333333,0.26666666666666666,3.6666666666666665,Medium,High,Low
Yogurt covered fruit snacks candy rolls,430.0,74.64,3.3,0.0,High,Medium,Low
Ladoo,26.0,46.74,4.0,169.0,High,High,Medium
Sugared pecans,48.0,31.77,6.5,2.0,High,High,Medium
Coffee,54.78021978021978,13.297032967032969,0.15384615384615385,22.35164835164835,Medium,Low,Low
Pina Colada,9.5,22.560000000000002,0.15000000000000002,0.0,High,Low,Low
Pomegranate juice beverage,11.0,13.13,0.1,0.0,Medium,Low,Low
Kamikaze,3.0,8.27,0.1,0.0,Medium,Low,Low
Orange Blossom,42.0,10.26,0.2,1.0,Medium,Low,Low
Seven and Seven,2.0,7.63,0.0,0.0,Medium,Low,Low
Tom Collins,2.0,16.11,0.0,0.0,High,Low,Low
Singapore Sling,5.0,7.79,0.2,1.0,Medium,Low,Low
Golden Cadillac,31.0,21.76,0.0,116.0,High,Medium,Low
Irish Coffee,6.0,2.03,0.0,27.0,Low,Low,Low
Rum cooler,4.0,10.07,0.0,0.0,Medium,Low,Low
Nutritional powder mix (Carnation Instant Breakfast),285.0,66.2,0.4,625.0,High,Low,High
Cheese as ingredient in sandwiches,958.0,4.32,0.0,269.0,Low,High,High
Other vegetables as ingredient in omelet,6.0,4.81,1.4,1.0,Low,Low,Low
Frozen yogurt,117.2,22.774000000000004,0.6,50.8,High,Low,Low
Chocolate milk,136.07843137254903,9.473529411764707,0.27254901960784317,56.470588235294116,Medium,Low,Low
Fruit smoothie juice drink,25.0,13.725000000000001,1.05,2.0,Medium,Low,Low
Ice cream sandwich,97.0,37.605000000000004,1.6,89.0,High,Medium,Low
Puerto Rican white cheese,566.0,2.98,0.0,224.0,Low,High,High
Cream cheese,126.33333333333333,10.013333333333334,0.0,205.0,Medium,High,Medium
Topping from vegetable pizza,455.0,12.18,1.9,146.0,Medium,Medium,High
Chicken nuggets,23.333333333333332,16.89,1.3166666666666667,9.666666666666666,Low,Medium,High
Turkey light or dark meat,13.0,0.14,0.0,17.0,Low,Medium,High
Goose,13.0,0.0,0.0,21.0,Low,High,High
Vienna sausage,10.0,2.6,0.0,0.0,Low,Medium,Medium
Fish stick,16.0,21.66,1.5,4.0,Low,Medium,Medium
Croaker,30.142857142857142,5.1085714285714285,0.2571428571428571,15.857142857142858,Low,Medium,High
Beef burgundy,20.0,4.06,0.7,1.0,Low,Medium,High
Swedish meatballs with cream or white sauce,56.0,6.32,0.2,37.0,Low,Medium,Medium
Sausage gravy,99.0,7.64,0.1,113.0,Low,Medium,Medium
Veal with gravy,9.0,1.58,0.0,0.0,Low,Medium,High
Venison or deer with tomato-based sauce,9.0,1.59,0.4,6.0,Low,Low,High
Beef and noodles with mushroom sauce,23.0,14.97,0.8,9.0,Low,Medium,Medium
Porcupine balls with tomato-based sauce,18.0,13.39,0.6,7.0,Low,Medium,Medium
Sausage and rice with tomato-based sauce,12.0,16.4,0.7,11.0,Low,Medium,Low
Chicken or turkey hash,22.0,8.16,1.3,8.0,Low,Low,Medium
Chicken or turkey and noodles with mushroom sauce,24.0,14.87,0.8,11.0,Low,Medium,Medium
Salmon cake or patty,191.0,2.58,0.2,30.0,Low,Medium,High
Liver dumpling,48.0,12.78,0.7,6255.0,Low,Medium,High
Shepherd's pie with lamb,16.0,13.08,1.1,37.0,Low,Medium,Medium
Stewed variety meats,15.0,5.74,1.0,3670.0,Low,Low,High
Pork chow mein or chop suey,23.0,3.85,0.8,9.0,Low,Low,Medium
Lamb shish kabob with vegetables,19.0,5.0,0.9,8.0,Low,Medium,Medium
Chicken or turkey garden salad with bacon and cheese,97.0,2.78,0.9,193.0,Low,Medium,Medium
Asian chicken or turkey garden salad,43.0,9.42,2.0,112.0,Low,Medium,Medium
Gumbo,27.0,4.02,0.9,11.0,Low,Low,Medium
Double cheeseburger,169.55555555555554,11.699999999999998,0.6222222222222222,37.22222222222222,Low,Medium,High
Midnight sandwich,113.0,20.09,0.8,45.0,Low,Medium,High
Turkey salad or turkey spread sandwich,93.0,19.52,1.1,6.0,Low,Medium,Medium
Chicken stew,36.0,6.4,0.6,52.0,Low,Low,Medium
Chicken with rice and vegetable,14.0,10.83,0.7,5.0,Low,Low,Medium
Beef vegetable soup,23.0,4.57,1.2,30.0,Low,Low,Medium
Sweet and sour soup,27.0,4.65,0.5,11.0,Low,Low,Medium
Chicken or turkey vegetable soup,12.0,5.233333333333333,0.7666666666666666,37.666666666666664,Low,Low,Low
Fish stock,3.0,0.0,0.0,2.0,Low,Low,Low
Spanish vegetable soup,19.0,5.24,1.2,4.0,Low,Medium,Medium
Chicken egg foo yung,37.0,4.68,0.3,77.0,Low,Medium,Medium
Beef egg foo yung,35.0,4.68,0.3,74.0,Low,Medium,Medium
Black bean sauce,27.0,17.36,2.6,0.0,Medium,Medium,Medium
Soy chips,171.0,53.15,3.5,0.0,Low,Medium,High
Hoisin sauce,32.0,44.08,2.8,0.0,High,Low,Low
Bean with bacon or ham soup,33.0,8.89,3.1,18.0,Low,Low,Low
Vegetarian burger or patty,136.0,14.27,4.9,1.0,Low,Medium,High
Tofu and vegetables excluding carrots,62.0,4.45,0.9,8.0,Low,Medium,Low
Vegetarian stroganoff,80.0,11.56,2.6,26.0,Low,Medium,Medium
Macadamia nuts,70.0,12.83,8.0,0.0,Low,High,Medium
Mixed nuts,107.125,23.191250000000004,7.324999999999999,0.875,Medium,High,High
Pan Dulce,79.75,55.55,2.25,25.5,High,Medium,Medium
Anisette toast,20.0,74.2,2.5,16.0,Medium,Medium,Medium
Scone,202.5,49.215,1.35,155.0,High,Medium,Medium
Pocky,50.0,51.08,5.0,1.0,High,High,Medium
Breakfast tart,28.0,74.315,1.65,243.5,High,Medium,Low
Rice noodles,4.0,23.87,1.0,0.0,Low,Low,Low
Wheat cereal,11.0,10.96,1.8,0.0,Low,Low,Low
Cereal (Kellogg's Froot Loops),10.0,88.0,9.3,501.0,High,Low,Medium
Cereal (General Mills Cheerios Fruity),370.0,84.19,5.9,534.0,High,Low,Medium
Cereal (Post Fruity Pebbles),19.0,86.1,0.8,833.0,High,Low,Low
Cereal (Post Shredded Wheat Honey Nut),38.0,83.6,10.7,0.0,High,Low,Medium
Cereal (Quaker Honey Graham Oh's),11.0,83.65,2.1,436.0,High,Medium,Low
Cereal (Barbara's Puffins),70.0,84.0,18.5,0.0,High,Low,Medium
Cereal (Quaker Toasted Oat Bran),242.0,74.9,10.2,359.0,High,Medium,Medium
Cereal (Kellogg's Special K Cinnamon Pecan),30.0,81.2,10.3,750.0,High,Medium,Medium
Oats,52.0,67.7,10.1,0.0,Low,Medium,Medium
Multigrain,800.0,80.06,6.7,0.0,High,Medium,Medium
Chilaquiles,168.0,26.244999999999997,3.2,63.0,Low,Medium,Medium
Soft taco with chicken and sour cream,123.0,18.79,1.7,54.0,Low,Medium,Medium
Taco or tostada with beans,84.0,20.79,3.7,24.0,Low,Medium,Medium
Tamale casserole with meat,38.0,15.47,1.7,6.0,Low,Medium,Medium
Nachos with cheese,63.0,34.91,3.2,5.0,Low,High,Low
Chimichanga with meat,122.0,26.66,2.9,19.0,Low,Medium,Medium
Quesadilla with vegetables and meat,287.0,29.18,2.1,95.0,Low,Medium,Medium
Fajita with chicken and vegetables,56.0,14.73,1.5,30.0,Low,Medium,Medium
Pizza with meat and fruit,174.0,27.486666666666665,2.0,55.666666666666664,Low,Medium,Medium
Tamale casserole,22.0,10.83,1.5,15.0,Low,Medium,Medium
Spanakopitta,163.0,10.5,1.3,286.0,Low,Medium,Medium
Turnover filled with meat and vegetable,14.0,22.85,1.3,52.0,Low,Medium,Medium
Vegetables and cheese in pastry,132.0,19.61,2.8,51.0,Low,High,Medium
Tortellini,64.6,19.71,1.01,54.8,Low,Medium,Medium
Lo mein,23.0,17.51166666666667,1.0999999999999999,11.5,Low,Low,Medium
Macaroni or noodles with cheese,101.14285714285714,19.378571428571426,1.0142857142857142,57.857142857142854,Low,Medium,Medium
Macaroni or noodles with cheese and tuna,51.0,18.23,0.8,63.0,Low,Medium,Medium
Macaroni or pasta salad with crab meat,21.0,20.93,1.2,5.0,Low,Medium,Medium
Rice with squid,29.0,29.26,1.0,25.0,Low,Medium,Medium
Fried rice,29.0,8.53,0.6,28.0,Low,Low,Medium
Rice with Spanish sausage,26.0,32.4,0.8,3.0,Low,Medium,Medium
Spanish rice with ground beef,23.0,14.79,0.9,8.0,Low,Medium,Medium
Zucchini lasagna,114.0,13.13,1.6,88.0,Low,Low,Medium
Fruit juice blend,53.0,11.976666666666667,0.2333333333333333,1.0,Medium,Low,Low
Date,39.0,75.03,8.0,0.0,High,Low,Low
Peach,7.5,19.56,2.4666666666666663,38.166666666666664,High,Low,Low
Raisins,90.0,73.52666666666666,3.4,9.666666666666666,High,Medium,Low
Nectarine,2.0,9.18,1.5,21.0,Medium,Low,Low
Berries,13.0,9.72,2.1,2.0,Medium,Low,Low
Prune juice,12.0,17.45,1.0,0.0,High,Low,Low
Vinegar,7.0,0.93,0.0,0.0,Low,Low,Low
Dutch apple dessert,4.0,19.46,1.3999999999999997,1.6666666666666667,High,Low,Low
Stewed potatoes,9.0,19.335,1.65,1.5,Low,Low,Low
Potato sticks,18.0,52.946666666666665,3.4,0.0,Low,High,Medium
Casabe,31.0,71.22,3.4,2.0,Low,Low,Low
Radicchio,19.0,4.48,0.9,1.0,Low,Low,Low
Broccoli casserole with noodles,42.0,16.02,2.0,45.0,Low,Low,Low
Pumpkin,24.0,7.3149999999999995,1.65,599.5,Low,Low,Low
Puerto Rican seasoning with ham and tomato sauce,24.0,5.3,1.5,19.0,Low,Medium,Medium
Tomato noodle soup,35.0,11.99,0.6499999999999999,22.0,Low,Low,Low
Kohlrabi,24.5,6.23,3.6,7.5,Low,Low,Low
Green peas,23.789473684210527,13.110526315789475,4.8315789473684205,74.63157894736842,Low,Low,Low
Rutabaga,44.0,8.8,2.3499999999999996,6.0,Low,Low,Low
Broccoli salad with cauliflower,107.0,10.45,1.7,47.0,Medium,High,Medium
Cucumber salad made with cucumber and vinegar,14.0,7.2,0.5,3.0,Medium,Low,Low
Luffa,86.0,7.76,3.3,47.0,Low,Low,Low
Palm hearts,18.0,24.8,1.5,13.0,High,Low,Low
Green bean casserole,40.0,6.8,1.8,26.0,Low,Low,Low
Vegetable beef soup,26.0,6.1375,0.7500000000000001,68.25,Low,Low,Low
Vegetable beef noodle soup,8.0,4.12,0.8,79.0,Low,Low,Low
Sweet potatoes and chicken,30.0,11.04,1.3,216.0,Low,Low,Low
Fried stuffed potatoes,17.0,16.16,1.9,11.0,Low,Medium,Low
Stuffed tannier fritters,32.0,19.67,2.4,17.0,Medium,High,Medium
Corn syrup,13.0,76.79,0.0,0.0,High,Low,Low
Chocolate syrup,5.5,50.885,0.0,0.0,High,Low,Low
Bean paste,21.0,49.98,5.3,0.0,High,Low,Medium
Caramel candy,150.0,72.95,0.8,23.0,High,Medium,Medium
Whatchamacallit,118.0,63.23,1.9,37.0,High,High,Medium
Espresso coffee beans,169.0,55.25,5.7,51.0,High,High,Medium
Soft fruit confections,17.0,73.81,2.4,0.0,High,Medium,Low
Butterfinger Crisp,33.0,68.45,1.7,0.0,High,Medium,Medium
Planters Peanut Bar,36.0,50.68,5.5,0.0,High,High,High
Peanut butter morsels,110.0,46.88,5.0,0.0,High,High,High
Skittles,0.0,90.78,0.0,0.0,High,Low,Low
Alexander,35.0,18.94,0.0,31.0,High,Low,Low
Energy drink (Full Throttle),13.0,12.08,0.0,0.0,Medium,Low,Low
Energy drink (No Fear Motherload),0.0,15.0,0.0,0.0,Medium,Low,Low
Green pepper,11.0,4.99,1.8,18.0,Low,Low,Low
Almond milk,179.0,4.0925,0.25,87.25,Low,Low,Low
Hot chocolate / Cocoa,123.33333333333333,13.526111111111113,0.411111111111111,53.166666666666664,Medium,Low,Low
Light ice cream cone,124.5,34.55,1.0,72.0,High,Medium,Medium
Barfi or Burfi,148.0,40.46,0.4,96.0,High,Medium,Medium
Queso Asadero,661.0,2.87,0.0,55.0,Low,High,High
Queso Fresco,566.0,2.98,0.0,224.0,Low,High,High
Cheese spread,410.3333333333333,8.088333333333333,0.0,194.5,Medium,Medium,Medium
Beef,20.493506493506494,7.23155844155844,0.6051948051948051,28.428571428571427,Low,Medium,High
Pork steak or cutlet,28.555555555555557,5.5522222222222215,0.26666666666666666,4.166666666666667,Low,Medium,High
Lamb chop,19.666666666666668,0.0,0.0,0.0,Low,Medium,High
Chicken breast,11.448275862068966,1.9020689655172416,0.06206896551724138,11.137931034482758,Low,Medium,High
Chicken skin,14.0,0.0,0.0,77.0,Low,High,High
Chicken feet,88.0,0.2,0.0,30.0,Low,Medium,High
Turkey stick,83.0,1.4,0.2,6.0,Low,Medium,Medium
Frankfurter or hot dog,72.07142857142857,6.380714285714286,0.42142857142857143,12.071428571428571,Low,Medium,Medium
Eel,27.666666666666668,3.1133333333333333,0.09999999999999999,1096.6666666666667,Low,Medium,High
Tilapia,30.11764705882353,6.907647058823529,0.3647058823529412,23.176470588235293,Low,Medium,High
Crayfish,58.0,5.105,0.3,22.0,Low,Medium,High
Scallops,20.857142857142858,8.858571428571427,0.2571428571428571,5.285714285714286,Low,Low,High
Sausage with tomato-based sauce,11.0,2.58,0.4,26.0,Low,Medium,Medium
Veal with butter sauce,8.0,1.49,0.2,67.0,Low,Medium,High
Chicken or turkey parmigiana,118.0,8.26,0.8,49.0,Low,Medium,High
Stuffed chicken,86.0,6.53,0.3,56.0,Low,Medium,High
Seafood sauce,32.0,2.55,0.1,54.0,Low,Medium,Medium
Meat loaf,47.0,8.89,0.5,29.5,Low,Medium,High
Beef stew with potatoes,15.0,7.6499999999999995,0.95,2.75,Low,Medium,Medium
Chili con carne with beans and macaroni,27.0,16.91,3.0,18.0,Low,Low,Medium
Beef and rice with gravy,10.0,15.98,0.2,0.0,Low,Medium,Medium
Porcupine balls with mushroom sauce,18.0,10.71,0.5,2.0,Low,Medium,Medium
Ham or pork and rice,10.0,16.8,0.2,0.0,Low,Low,Medium
Clams Casino,43.0,9.83,1.2,69.0,Low,Low,Medium
Shrimp toast,59.0,11.73,0.8,31.0,Low,Medium,Medium
Vienna sausages stewed with potatoes,16.0,13.07,1.7,5.0,Low,Medium,Medium
Brunswick stew,17.0,7.32,1.2,7.0,Low,Medium,Medium
Beef rolls,13.0,6.46,0.7,92.0,Low,Medium,High
Sausage and vegetables including  carrots,20.0,4.94,1.7,159.0,Low,Medium,Medium
Chicken or turkey caesar garden salad,61.0,2.71,1.0,189.0,Low,Low,Medium
Antipasto with ham,178.0,3.88,1.1,288.0,Low,Medium,Medium
Double hamburger,50.333333333333336,12.82111111111111,0.7333333333333334,2.2222222222222223,Low,Medium,High
Meatball and spaghetti sauce submarine sandwich,176.0,26.01,2.1,15.0,Low,Medium,Medium
Roast beef sandwich with bacon and cheese sauce,147.0,19.67,0.7,22.0,Low,High,High
Steak and cheese submarine sandwich,193.66666666666666,20.46,0.9333333333333332,26.333333333333332,Low,Medium,High
Fajita-style beef sandwich with cheese,90.0,15.33,1.2,26.0,Low,Medium,Medium
Gyro sandwich (pita bread,46.0,18.52,1.0,7.0,Low,Low,Medium
Turkey and bacon submarine sandwich,182.0,18.455,1.05,17.0,Low,Medium,Medium
Puerto Rican sandwich,360.0,31.86,1.1,139.0,Medium,Medium,Medium
Salisbury steak,32.0,9.55,1.15,20.5,Medium,Low,Medium
Shrimp and clams in tomato-based sauce,40.0,12.46,1.5,60.0,Low,Low,Medium
Chicken or turkey vegetable soup with rice,17.5,6.53,0.8,76.0,Low,Low,Medium
Seafood soup with vegetables including carrots,30.0,3.02,0.7,36.0,Low,Low,Low
Egg foo yung,58.0,5.09,0.3,98.0,Low,Medium,Medium
Egg and bacon on biscuit,126.0,19.06,0.5,63.0,Low,High,Medium
Kidney beans,35.42857142857143,22.554285714285715,7.442857142857144,0.0,Low,Medium,Medium
Peruvian beans,58.0,23.49,9.7,0.0,Low,Medium,Medium
Textured vegetable protein,241.0,33.92,17.5,2.0,High,Low,High
Tahini,426.0,21.19,9.3,3.0,Low,High,High
Chia seeds,255.0,28.88,27.3,0.0,Low,High,High
Bruschetta,50.0,21.35,1.5,24.0,Low,Medium,Low
Gordita/sope shell,111.0,36.65,2.7,0.0,Low,Medium,Low
Rum cake,47.0,53.64,0.6,70.0,High,Medium,Medium
